year_new,group,average_wage_mar26,median_wage_mar26,low_wage_mar26
1991,hispanic,25.22469482146059,23.081447509031065,12.052861369475677
1992,hispanic,24.899756359752207,22.038855122839827,11.948486364521893
1993,hispanic,24.48905393026211,21.722750929044835,12.319777539064415
1994,hispanic,24.049206544191065,21.365182556269534,12.099919013672208
1995,hispanic,23.899114625033626,21.425992294811397,11.51528872168924
1996,hispanic,23.760782632350114,21.231239685794417,10.804151325908963
1997,hispanic,23.414433143284846,21.138098432223114,10.524668206674116
1998,hispanic,23.57144541842116,21.654643463831444,10.894034068561432
1999,hispanic,24.156529192735356,22.223202409342278,11.387745538440956
2000,hispanic,24.634554102074404,22.682082430271606,12.486895936732278
2001,hispanic,26.21234958699116,23.377597161231424,13.07342918821125
2002,hispanic,26.546109768206005,23.77718130818754,12.990408875236483
2003,hispanic,26.787246476268034,23.9622629315377,12.955451345438403
2004,hispanic,26.315432501322796,24.07336981725288,12.914942334918681
2005,hispanic,26.060107268690196,23.883185517609164,13.102561560333491
2006,hispanic,25.863700984711834,23.638280569545724,12.970743525064272
2007,hispanic,26.149629085369515,23.87265676325212,13.152543322689796
2008,hispanic,26.393438078037395,23.93395883112673,13.10383679049117
2009,hispanic,26.428675534280522,23.885035428538504,13.09555603827855
2010,hispanic,25.77825688489909,23.252372071498986,12.98548323824992
2011,hispanic,25.630317839319847,22.705371439875524,12.80150766911926
2012,hispanic,25.48979349035189,22.106438676214317,12.788697111170743
2013,hispanic,24.812343008284483,21.07089870548409,12.432878796016292
2014,hispanic,24.879195781524142,21.141139224965556,12.4920654526005
2015,hispanic,25.09512045102517,21.279192746863792,12.451776404941205
2016,hispanic,26.2887738271471,22.019075504273736,12.763771523518152
2017,hispanic,27.28781914753253,22.765805292636486,13.144584226703255
2018,hispanic,27.73647449534139,23.62813776838558,13.501393948113957
2019,hispanic,27.902054910637634,24.040604840896012,13.686551441877496
2020,hispanic,28.744840807387597,24.3076411976097,13.83237714561531
2021,hispanic,30.304777981801376,24.92143761266375,14.361105159529487
2022,hispanic,30.672329166123344,24.797688530930564,15.187288283005136
2023,hispanic,30.290809241703432,24.767879078708965,15.590207506717858
2024,hispanic,29.14824290642416,24.27553194541009,15.164401728191748
2025,hispanic,29.5507572492086,24.910734546731383,15.54109135084611
2026,hispanic,29.88765071795678,25.192783949007413,15.883713466888684
2027,hispanic,30.476286146877015,25.417404993859176,16.362687454212193
2028,hispanic,30.74016858758989,25.29763878871499,16.06374096888629
1979,male,27.50637727495466,24.975865327391176,14.934710729064292
1980,male,26.438349754616713,24.28257813173395,14.012524100495511
1981,male,26.53366814878906,24.413362476919616,13.87048111297463
1982,male,26.261918344879575,24.16346381162342,13.468844516115885
1983,male,26.458996704238228,24.239144674481473,13.007948182160753
1984,male,26.37991346418876,23.882797469011393,12.430697593979765
1985,male,26.691408662269804,23.950968857941124,12.391760932243578
1986,male,26.862364546517625,24.2535741970671,12.483637556637786
1987,male,27.315805025722607,24.815814211894587,12.720035578897777
1988,male,27.55969565598153,25.108194291095113,12.816624672932926
1989,male,27.692779530524586,24.985318595929808,12.77487217259088
1990,male,27.472328489684998,24.911976379411456,12.812073842581015
1991,male,27.229886058321,24.76017002465012,12.943776330555613
1992,male,26.5554003132128,24.26251346669584,12.769949944202784
1993,male,25.935366985983485,23.62867054621746,12.514947462729253
1994,male,25.509215097166862,23.090027434554568,12.003400308645178
1995,male,25.19819887164767,22.65831806656282,11.912368348136617
1996,male,25.075517196589278,22.615061072372225,11.986169860295725
1997,male,24.927577522252754,22.68078163158023,12.126217149514796
1998,male,25.53438705824178,23.290560760120332,12.252659100364852
1999,male,26.42390669927567,23.921405883294234,12.647885827711539
2000,male,27.765587821480143,24.84959766282566,13.30321264730867
2001,male,29.122528793548486,26.223724784298415,13.854763881307758
2002,male,30.447818544702983,27.021048900728726,14.293779881918788
2003,male,30.77860094922685,27.33780555466707,14.32640153983603
2004,male,30.117313805917206,26.78658944151953,14.05931572159351
2005,male,29.194010131609698,25.86709125342363,13.78346715944307
2006,male,29.120343624657043,25.51083209913978,13.75107820442875
2007,male,29.588047377507536,25.79213005506759,14.042689453534432
2008,male,30.10929333377256,26.282791152249885,14.233153723232165
2009,male,30.04279444812768,26.305168226981014,14.088161061189776
2010,male,30.008179292165728,26.427735736226765,13.97578192144492
2011,male,29.512038584389053,25.883188776446385,13.491502761972232
