occ18,occ18_label,mocc03,mocc03_label,pca_score,share_grads_22_27,share_noncollege_22_27,share_all_grads,share_all_16plus,wgt_grads_22_27,wgt_noncollege_22_27,wgt_all_grads,wgt_all_16plus
1560,Surveying and Mapping Technicians,2,Professional and related occupations,1.024833211,1.4892008804891926e-4,9.731601635195531e-4,1.33381296786232e-4,4.491269827702196e-4,40091.75595092772,532631.0120239258,249943.04351806638,3256123.280822754
1600,Agricultural and Food Scientists,2,Professional and related occupations,1.947497589,7.062061853296862e-4,0,3.558970046230395e-4,1.6456531282351956e-4,190122.40997314453,0,666914.9472808838,1193081.1704864502
1610,Biological Scientists,2,Professional and related occupations,1.970676288,0.002257857508618706,0,0.0012528743309795506,6.929861011381507e-4,607852.6637573242,0,2347759.625793457,5024076.182830811
1640,Conservation Scientists and Foresters,2,Professional and related occupations,0.397701898,9.07717287231444e-4,0,4.953126001304358e-4,1.8010461191442234e-4,244372.53851318356,0,928165.6555480957,1305739.4508361816
1650,Medical Scientists,2,Professional and related occupations,2.113409329,1.736555415709446e-4,0,7.529743164714085e-5,8.836047256744623e-4,46750.95001220703,0,141099.76202392578,6406041.116851807
1700,Astronomers and Physicists,2,Professional and related occupations,3.280331679,2.7947665961263287e-4,0,1.3797295390652396e-4,1.6494291654043733e-4,75239.74890136717,0,258547.34399414057,1195818.7576293945
1710,Atmospheric and Space Scientists,2,Professional and related occupations,2.901242719,6.9092076385571976e-6,0,8.856389043822836e-5,7.402224499521379e-5,1860.0732116699219,0,165959.76239013675,536653.473236084
1720,Chemists and Materials Scientists,2,Professional and related occupations,1.282115013,0.0023283058722636985,0,0.0013752978842866957,6.014400121574134e-4,626818.5308837891,0,2577168.967651367,4360376.687957764
1745,"Environmental Scientists and Specialists, Including Health",2,Professional and related occupations,2.590196519,0.0018253389510398783,0,7.288740700133205e-4,3.2315349066568355e-4,491411.49935913086,0,1365836.198852539,2342828.7424316406
1750,"Geoscientists and Hydrologists, Except Geographers",2,Professional and related occupations,1.268983876,5.267958835664897e-4,0,4.012910235240643e-4,2.530154259925495e-4,141822.18313598633,0,751978.7419433594,1834335.1670837402
1760,"Physical Scientists, All Other",2,Professional and related occupations,1.500733082,0.005833514485683493,0,0.002939411169059439,0.002765475185770995,1570478.7860412598,0,5508158.875701904,20049403.57710266
1800,Economists,2,Professional and related occupations,3.419545712,1.872820802067262e-4,0,1.1627922395304204e-4,1.9393204730681156e-4,50419.44006347657,0,217895.49084472656,1405986.8998260498
1821,Clinical and Counseling Psychologists,2,Professional and related occupations,1.641394668,3.1918741790752164e-5,0,1.058697773156072e-5,1.1062160286198014e-4,8593.0543212890625,0,19838.92419433594,801994.9596862793
1822,School Psychologists,2,Professional and related occupations,1.865991869,6.614206886840758e-5,0,5.655921196617725e-5,3.280599768086401e-4,17806.541198730472,0,105986.23583984376,2378400.2497558594
1825,Other Psychologists,2,Professional and related occupations,-0.440780851,5.016976930327368e-4,0,2.036147804735124e-4,9.87281149193793e-4,135065.3342590332,0,381553.47985839844,7157684.258422852
1840,Urban and Regional Planners,2,Professional and related occupations,3.1166213,3.7490507972038543e-4,0,4.3026398000172757e-4,2.5170597848657065e-4,100930.66125488283,0,806271.128479004,1824841.810699463
1860,Miscellaneous Social Scientists and Related Workers,2,Professional and related occupations,2.703304015,7.231938115060165e-4,6.690298552014577e-5,4.994270626846477e-4,3.5217803140020706e-4,194695.76049804688,36617.410186767585,935875.7417297363,2553253.603164673
1900,Agricultural and Food Science Technicians,2,Professional and related occupations,0.341842877,2.9015359314853303e-4,3.351364879137421e-4,3.000477836623883e-4,3.197329247126231e-4,78114.15637207031,183427.2439575195,562259.162689209,2318029.999847412
1910,Biological Technicians,2,Professional and related occupations,0.304244209,7.969530401077973e-4,1.4799545902304917e-4,2.955980378708889e-4,1.6930877716383119e-4,214552.96734619138,81001.02539062501,553920.7896728516,1227470.7869262695
1920,Chemical Technicians,2,Professional and related occupations,0.346246836,0.0010309864006752252,4.7974758582687945e-4,5.13474144680934e-4,4.072049463708907e-4,277558.626953125,262575.9373779297,962198.5509338379,2952192.9360961914
1935,Environmental  Science and Geoscience Technicians,2,Professional and related occupations,0.690528537,3.93744390935984e-4,1.8333037906811841e-4,2.1389651328107773e-4,1.660742356987773e-4,106002.51608276369,100340.56982421875,400820.40597534186,1204020.7022705078
1970,"Other Life, Physical, and Social Science Technicians",2,Professional and related occupations,0.946818308,0.010838115038808585,0.001868327361586252,0.0038138825155598828,0.002251741886638835,2917800.202758789,1022574.8347473145,7146829.626998901,16324891.313064575
1980,Occupational Health and Safety Specialists and Technicians,2,Professional and related occupations,0.528596406,4.744568237412528e-4,2.7399982267393183e-4,7.231275274693666e-4,4.871703499812771e-4,127731.64074707033,149965.86206054685,1355067.7600402832,3531933.682800293
2002,"Educational, Guidance, and Career Counselors and Advisors",2,Professional and related occupations,1.391348778,0.004054744375104946,7.345291641551467e-4,0.0021389472780042637,0.002494647212483804,1091604.3903808594,402023.25036621094,4008170.6016540527,18085929.31982422
2003,Marriage and Family Therapists,2,Professional and related occupations,0.152018569,8.347871030726075e-5,6.524785365538052e-5,1.3966919325934858e-4,2.297450255356779e-4,22473.85241699218,35711.52172851562,261725.9247741699,1665627.216796875
2005,Rehabilitation Counselors,2,Professional and related occupations,0.776112962,1.0040374551962345e-4,2.7659480849534534e-5,1.2421052184408021e-4,1.0054598784126307e-4,27030.3524169922,15138.615234375,232757.93994140628,728947.8128967285
2011,"Child, Family, and School Social Workers",2,Professional and related occupations,0.810241959,9.555496032437818e-4,1.0175017538913549e-4,8.154376993052322e-4,4.907542357549371e-4,257249.79077148438,55690.0096435547,1528047.674407959,3557916.476867676
2012,Healthcare Social Workers,2,Professional and related occupations,0.622950411,2.865454125544458e-4,3.1877234306234117e-4,5.736995811445281e-4,5.962933531308763e-4,77142.77435302734,174470.80352783203,1075054.9202270508,4323063.952545166
2013,Mental Health and Substance Abuse Social Workers,2,Professional and related occupations,-0.150906925,1.610838374809027e-4,5.0474135572428966e-5,1.2434064376149427e-4,1.654565571326888e-4,43366.4389038086,27625.55529785155,233001.7752380371,1199542.5977783203
2015,Probation Officers and Correctional Treatment Specialists,2,Professional and related occupations,0.875038228,0.001466778593490897,1.4076338055413534e-4,0.0011840824527295487,4.6153813242277196e-4,394881.10821533203,77042.7568359375,2218850.612060547,3346102.807495117
2016,Social and Human Service Assistants,2,Professional and related occupations,0.700477024,0.002617288714738191,0.0013067743701472262,0.002107535708729134,0.0015360992153189159,704617.5017700195,715225.0794372559,3949308.501678467,11136557.384735107
2025,Other Community and Social Service Specialists,2,Professional and related occupations,1.292666704,0.0013435700774018572,3.901816125685397e-4,0.0010549112135604002,7.364774837071813e-4,361711.3335876465,213554.59765625,1976796.7901916504,5339384.121856689
2040,Clergy,2,Professional and related occupations,0.309856303,0.0022380341123499786,3.061071946757816e-4,0.0026619165793119737,0.002677858491967374,602515.8769226074,167538.90161132815,4988162.114593506,19414191.783050537
2050,"Directors, Religious Activities and Education",2,Professional and related occupations,1.471086128,5.160242322245387e-4,2.1483940547311988e-4,7.748248098525738e-4,4.8294141968092946e-4,138922.27606201172,117586.12225341795,1451943.2321777344,3501274.383911133
2100,Lawyers,2,Professional and related occupations,1.605885787,1.3662132070375085e-4,7.732375817371723e-5,3.04721163244486e-4,0.007897467264805974,36780.72393798828,42320.91809082031,571016.6027832031,57255805.16641235
2105,Judicial Law Clerks,2,Professional and related occupations,1.634624847,2.1912242839020401e-4,3.542093560704176e-5,9.802579745803709e-5,1.2460906888256263e-4,58991.38952636719,19386.62255859376,183690.41799926758,903402.613861084
2145,Paralegals and Legal Assistants,2,Professional and related occupations,1.675112554,0.008473911151831957,0.0012677993069214132,0.005058315673437452,0.002932209092082555,2281317.3313293457,693893.2081298828,9478771.349182129,21258206.821777344
2170,"Title Examiners, Abstractors, and Searchers",2,Professional and related occupations,1.770614845,7.515691767349912e-4,4.0324024416870795e-4,9.004951662162626e-4,6.288391298928605e-4,202334.87911987305,220701.86120605466,1687436.7541809082,4559017.403289795
