year_new,group,employment_1,employment_2,employment_3,employment_4,employment_5,employment_6,employment_7,employment_8,employment_9,employment_10,employment_11,employment_NA,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_NA
2000,all_grads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24746097.14184634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172208
2001,all_grads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25482798.36556689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171764
2002,all_grads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25636209.65438938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196201
2003,grads_22_27,177526.00262196857,426779.08544286096,92598.03826904297,106621.42478434245,100458.71239217122,1257.741205851236,10829.189151763918,7217.319493611652,15989.840543111168,12162.919514973957,NA,2817660.985543569,1002,2492,537,612,617,8,71,46,79,60,NA,20148
2004,grads_22_27,719654.8607571919,1666754.3000526428,362989.36762873334,479573.20446395874,462883.9291852315,10212.938652038576,46245.46186065673,32554.853309631344,52581.326807657875,54724.65557861328,0,0,3895,9456,2179,2568,2715,93,293,180,311,299,4,3319
2005,grads_22_27,725433.7052993774,1644552.0485795338,412831.20666376746,514402.4266560872,504976.1833534241,7211.632626851399,58475.86984634399,42313.559338887535,66577.03711954753,38492.90545781454,0,0,3906,9274,2285,2750,2762,68,375,240,346,239,2,3345
2006,grads_22_27,777829.0100657146,1692242.9810288746,387398.9982159932,484872.8461939494,515727.2419459025,10634.592274983725,57395.74139912924,39215.26895650228,55050.14749145508,50982.96135457356,0,0,4216,9509,2225,2560,2890,81,342,220,317,327,6,3358
2007,grads_22_27,843416.162390391,1799941.1913642883,422930.3320515951,525623.8454742432,518840.1940841675,10094.77737426758,77886.583152771,48101.336377461754,59400.88179016114,46815.771675109856,0,0,4441,9520,2343,2712,2900,60,404,237,331,273,2,3258
2008,grads_22_27,907283.2842928568,1993113.0043080647,414348.81991704303,529082.4471206665,532232.6153030396,8482.202629089355,64274.780128479004,44494.92704518636,61757.20930226644,49806.77084350587,NA,0,4666,10552,2328,2637,2832,66,343,214,301,298,NA,3381
2009,grads_22_27,848557.7461713155,1962395.1494191487,470071.08667755127,551495.4167912801,545401.7540588379,10780.347628275551,63807.20900726318,45674.51146825154,56797.72569274903,63514.01580556234,0,0,4407,10503,2539,2728,2915,62,352,233,310,361,3,3677
2010,grads_22_27,860228.3013941447,1886473.7721125286,566824.9099489847,506915.74023946124,547918.9549420674,6643.097844441732,39497.39333724974,36440.18415069581,53478.3916015625,61572.74095153809,0,0,4454,10302,3064,2686,3033,55,260,200,289,364,1,3785
2011,grads_22_27,822564.5372556051,1887615.8681869507,543860.1942520142,548454.4579760233,605725.6036465963,7490.6106007893895,37166.234659830734,34036.52136993408,57647.91092681885,70833.8020884196,0,0,4349,10250,3060,2773,3293,71,258,188,306,400,3,3958
2012,grads_22_27,876389.351910909,1869411.1284739177,532052.1152394612,551275.9957834879,547445.5222307841,10329.140691121416,51719.66984812419,32584.044275919598,66534.99396260579,72255.4451675415,0,0,4476,10044,2941,2753,2956,72,257,183,377,400,4,4212
2013,grads_22_27,899882.7745946249,1917784.9710324605,553573.8119138082,538869.0293045044,591289.0772018433,10451.699361165365,44634.789070129395,33776.93666585286,65782.50694020589,93907.46691894531,0,0,4535,9956,3033,2622,3199,63,260,177,369,446,2,4165
2014,grads_22_27,894467.0016072592,1966252.8628133137,560237.4555765787,574207.4246953329,580703.9005813599,10377.699180603026,53984.053649902344,54647.525370279945,78758.12473805745,62988.45523325603,0,0,4456,9776,2938,2695,3027,84,271,254,399,354,3,4487
2015,grads_22_27,1010886.0141830444,2056688.2822494507,573796.0451889038,563891.3333791097,562803.4581743876,12547.501881917315,53597.26321411133,43459.844563802086,77046.11363983154,72384.73979695638,0,0,4813,10100,2895,2643,2760,87,269,209,400,366,3,4403
2016,grads_22_27,1037598.2168464661,2136359.785706838,604522.6052385966,569759.9802131653,643597.1503728231,18966.29649098714,51626.94575246175,45638.768295288086,75792.79486083984,80437.39975738525,0,0,4707,9866,2788,2393,2940,116,269,198,380,371,2,4365
2017,grads_22_27,1066902.7828788757,2206321.3767674766,645880.5915234884,560943.9571240743,616248.1083602905,16214.382560729984,51606.69754028321,49425.21410115561,90431.43426005046,93831.9276746114,0,0,4747,10201,2897,2385,2853,102,227,206,381,438,2,4378
2018,grads_22_27,1125600.5975659688,2408390.1656977334,641931.7301801046,563979.3967475891,601102.6435597738,25088.196496327717,64609.29772694906,53411.881047566734,78088.93125661214,98755.42567443846,0,0,4852,10465,2764,2291,2694,137,271,199,335,429,2,4320
2019,grads_22_27,1132841.5268834431,2454428.7605158486,594199.3610407511,575547.7934112549,641913.2810440063,14122.122497558596,59689.371854146324,48655.12233479818,84038.40476226807,110664.33116149902,0,0,4620,10241,2536,2138,2628,90,245,201,349,437,1,3962
2020,grads_22_27,1164727.5154469807,2559104.3611081443,641393.4368743896,534803.9057973226,650247.4305877686,20357.773656209312,63153.74630228679,43102.780466715485,82745.99055989583,109389.77914428711,NA,0,4363,9983,2480,1904,2473,103,267,182,314,401,NA,3789
2021,grads_22_27,1168443.0838445027,2456457.905143738,532160.6788762411,485876.5959523519,611108.3135299683,16495.77138519287,60752.48817952474,56063.30016072591,88345.26216634114,162352.9819844564,0,0,3942,8648,2111,1651,2150,82,234,209,321,551,6,3642
2022,grads_22_27,1188300.0905265808,2364232.187522888,575325.4426269531,493737.5330225627,626762.6696879069,11093.53328196208,52692.594161987305,50859.9214960734,101761.75345611572,149017.036277771,NA,0,4105,8318,2066,1667,2097,41,218,162,358,482,NA,3485
2023,grads_22_27,1263212.808245341,2575672.81688563,636719.9259770712,474179.4443283081,586706.6897481283,19857.096501668293,57440.43852233887,42129.65632883708,98252.9206237793,131912.29704030356,NA,0,4134,8570,2140,1495,1920,72,204,158,336,449,NA,3156
2024,grads_22_27,1283144.3308029175,2664353.085348765,673485.9988632202,490486.60276031494,524439.2677688599,11774.63082377116,52888.245445251465,51088.72690327962,109728.94564819336,147995.02427927652,NA,0,3971,8580,2163,1519,1693,57,185,178,362,463,NA,3393
2025,grads_22_27,1275209.4542312622,2649228.529863993,709904.9168675741,448667.1035970052,581024.9436950684,13081.762446085611,75355.27777608235,51825.490061442055,100284.56118011475,143864.8816833496,0,0,4000,8618,2299,1471,1854,60,234,161,332,472,1,3177
