"date","epop","unemp","employment","labor_force","idled","population"
2006-08-01,0.614994754319761,0.030763665555002,19050831.4869512,19655506.9284108,0,30977225.9895503
2006-09-01,0.6159222043788,0.0301934436475478,19141283.0091922,19737217.5758273,0,31077436.197478
2006-10-01,0.616522987724433,0.0301413807728824,19221514.5706584,19818883.0718193,0,31177287.7141279
2006-11-01,0.61729645686494,0.0299224687952106,19306735.2014796,19902259.9539045,0,31276277.3652267
2006-12-01,0.617987377066962,0.0297749686112848,19389176.0346578,19984205.1146685,0,31374712.0963554
2007-01-01,0.618115298518108,0.029914108891611,19454167.1289317,20054066.6628024,0,31473362.939846
2007-02-01,0.618351220232531,0.0300819225160712,19522459.0896505,20127946.4140867,0,31571796.8217303
2007-03-01,0.618343481703555,0.0305118853667488,19582901.6472677,20199217.8673337,0,31669941.1034724
2007-04-01,0.617816094132755,0.0304675149519663,19626931.4743284,20243706.9175212,0,31768242.4603704
2007-05-01,0.618010329134638,0.0304788719306667,19693120.1652273,20312213.5197233,0,31865357.6434593
2007-06-01,0.617840197428335,0.0303926650017705,19747410.531119,20366399.6943207,0,31962003.4651591
2007-07-01,0.618027742893866,0.0302957975750998,19812562.1894213,20431552.3639857,0,32057723.0022888
2007-08-01,0.617935863906689,0.0307223551785779,19869328.7745183,20499109.7036794,0,32154354.4161708
2007-09-01,0.617839761616366,0.0309281503514899,19926011.7752495,20561955.0113614,0,32251099.740036
2007-10-01,0.617769545248726,0.0310311861125653,19983354.1602796,20623320.2491913,0,32347587.0799586
2007-11-01,0.617969258562202,0.031001354301871,20047798.5073725,20689191.4621086,0,32441417.1572495
2007-12-01,0.618085483737103,0.0309332922923693,20108315.2581329,20750186.8531837,0,32533226.8548889
2008-01-01,0.618986504234398,0.030783723588629,20190913.8810399,20832206.776179,0,32619311.9606272
2008-02-01,0.619709549064929,0.030770027892425,20266800.3584671,20910208.0431925,0,32703708.3566767
2008-03-01,0.620506774513942,0.0308225350962886,20344086.2310206,20991084.6751289,0,32786243.5457802
2008-04-01,0.621317642456358,0.0307093795890276,20420392.5990473,21067358.0957476,0,32866268.7225749
2008-05-01,0.621574465718716,0.0306465154736455,20478137.6460762,21125562.5248845,0,32945590.2317314
2008-06-01,0.621974073639624,0.0308560444755384,20539942.5800374,21193902.580677,0,33023792.229543
2008-07-01,0.621703787108652,0.0314060472979409,20579050.7384644,21246313.4640223,0,33101054.17593
2008-08-01,0.621631952399025,0.0320974497806521,20624256.6746114,21308195.4065908,0,33177600.6606763
2008-09-01,0.621318260964632,0.0328289262622839,20661388.1607107,21362702.7541911,0,33254113.8073629
2008-10-01,0.621689350076864,0.0340361563438897,20721366.0471522,21451492.3961576,0,33330739.9340045
2008-11-01,0.621497109747773,0.0356014745102525,20764060.1613108,21530580.5769107,0,33409745.3321025
2008-12-01,0.621424304803818,0.0371438184184134,20811876.6773097,21614730.2945328,0,33490606.2032445
2009-01-01,0.620670526688065,0.0392885029161632,20840459.6018817,21692734.6712735,0,33577330.8152517
2009-02-01,0.619651715772907,0.0414420538481104,20861335.0378558,21763248.7650884,0,33666226.5379753
2009-03-01,0.618179391440402,0.0442783954478801,20868000.3780657,21834810.7635854,0,33757191.9527143
2009-04-01,0.617138062007996,0.0472680739333011,20890305.2743543,21926740.0438639,0,33850294.7077726
2009-05-01,0.616549149306671,0.0500345046489305,20929250.7949638,22031590.5129051,0,33945794.6191305
2009-06-01,0.615512996740047,0.0531018586477218,20954303.4025815,22129416.5522982,0,34043640.8549652
2009-07-01,0.614490371501763,0.0559430449681955,20981329.2560883,22224643.4860293,0,34144276.6707827
2009-08-01,0.613086518758896,0.058243285900735,20995911.11947,22294410.8654976,0,34246244.986716
2009-09-01,0.611916732016375,0.0603651236925997,21019277.5006065,22369622.5316887,0,34349898.2800229
2009-10-01,0.609998157136933,0.0623160850388293,21017530.294342,22414301.8334834,0,34455071.787412
2009-11-01,0.608126562484777,0.0643222208464102,21017944.7431806,22462802.0579834,0,34561793.6129977
2009-12-01,0.606237175459671,0.0660623900548911,21018568.6964264,22505324.2021828,0,34670537.4517644
2010-01-01,0.604912829174234,0.0673327638643327,21033970.2027791,22552491.8082568,0,34771902.9723549
2010-02-01,0.603800088506871,0.068738366144157,21056931.9588979,22611188.0843976,0,34874012.7067045
2010-03-01,0.6035534512344,0.0692575957637046,21110129.2930501,22680957.9073296,0,34976403.9123217
2010-04-01,0.603565265291191,0.0697189498190346,21172385.4676145,22759127.968366,0,35078866.6697044
2010-05-01,0.603305909196635,0.0701791458113493,21225204.1783803,22827197.3926646,0,35181495.5809797
2010-06-01,0.603081943222636,0.0703100573457602,21278749.1982536,22888006.2287254,0,35283346.5458247
2010-07-01,0.603119340347914,0.0703235844035242,21340905.3687286,22955197.1102079,0,35384216.5903982
2010-08-01,0.603245397728003,0.0708881711638664,21406197.4818993,23039419.8174337,0,35485057.2628008
2010-09-01,0.603339102356874,0.0713295422488959,21470143.0419312,23119226.9149208,0,35585532.1792679
2010-10-01,0.602887214733286,0.0716082453162227,21514883.5090523,23174358.6697197,0,35686415.2751528
2010-11-01,0.602759837877598,0.0715746390201202,21570597.2077789,23233528.6328379,0,35786387.6328125
2010-12-01,0.602921375840569,0.0712760498638983,21636118.7630755,23296609.0299543,0,35885473.015302
2011-01-01,0.602626300753276,0.071184614076336,21684350.4682604,23346243.8250809,0,35983080.1296844
2011-02-01,0.602334839550341,0.0707922210105886,21733131.6795642,23388882.6277377,0,36081478.6934598
2011-03-01,0.601767042825117,0.0704291130966919,21772338.592233,23421923.9210078,0,36180676.3129107
2011-04-01,0.601132879448747,0.0698992416636822,21809751.9989891,23448805.7379939,0,36281083.1758016
2011-05-01,0.600469311313998,0.0694463595079429,21845148.5010783,23475431.7757835,0,36380124.828153
2011-06-01,0.599647320388434,0.0693561563347725,21873795.9260915,23503938.7784958,0,36477768.1519903
2011-07-01,0.598605287321958,0.069520783108018,21893494.0042903,23529267.077474,0,36574174.1143608
2011-08-01,0.598449764838808,0.0688979909819879,21943228.4173241,23566943.4764366,0,36666784.2592176
2011-09-01,0.598762029774801,0.0683022475771334,22007578.1938794,23620941.5946846,0,36755133.257459
2011-10-01,0.599224441339164,0.0679230722132396,22074929.8488935,23683592.1915919,0,36839167.9744568
2011-11-01,0.599689398597256,0.0670715067655776,22138310.1650607,23729911.0549278,0,36916294.0296173
2011-12-01,0.59989527186658,0.066446193535658,22187872.6895536,23767106.4441223,0,36986243.6496887
2012-01-01,0.600272601607511,0.0656282936325371,22281851.4014104,23846881.5457128,0,37119554.2520854
2012-02-01,0.6008610597929,0.064836681527299,22379362.6196365,23930967.1129812,0,37245486.7142665
2012-03-01,0.601237036479855,0.0645994045679647,22465022.1474253,24016471.9341977,0,37364667.8171298
2012-04-01,0.601232030082252,0.0644294386873411,22532435.5714277,24084164.7901077,0,37477104.4189796
2012-05-01,0.601722400452583,0.0641096640780965,22616555.7892214,24165818.2814153,0,37586361.7046839
2012-06-01,0.60265964933167,0.0630823743442522,22715846.4334106,24245297.3573977,0,37692661.9504089
2012-07-01,0.603128023566455,0.0622054683249824,22795662.1193275,24307736.2357953,0,37795726.9909808
2012-08-01,0.603619034136606,0.0614295785405239,22876481.7500445,24373751.0015195,0,37898874.0518532
2012-09-01,0.603737355047072,0.0608928701446069,22942925.1742312,24430572.8759232,0,38001500.1265615
2012-10-01,0.60482502520203,0.0600118081621047,23045921.1924833,24517245.421374,0,38103451.7954763
2012-11-01,0.605669267293547,0.0596555138131313,23141745.6714503,24609859.483827,0,38208551.9624596
2012-12-01,0.606671684014446,0.0594803877503659,23245846.9931234,24715961.9962858,0,38317013.3132006
2013-01-01,0.607498496634639,0.0594491365760638,23309078.7042338,24782369.1526693,0,38368948.7848269
2013-02-01,0.608026521412856,0.05944284688907,23361854.7137782,24838314.8610458,0,38422427.1327718
2013-03-01,0.608690874485675,0.0586292197875614,23421104.8797124,24879787.40367,0,38477831.4600207
2013-04-01,0.609432695610778,0.0578507300181692,23484927.3576266,24926970.8165029,0,38535719.4104754
2013-05-01,0.609821203047214,0.0570951109630003,23535884.8187561,24961038.0563342,0,38594730.2277285
2013-06-01,0.609881211539743,0.0566734960339451,23574889.8119354,24991230.1974119,0,38654887.8140005
2013-07-01,0.61059843868563,0.0558830673690403,23639992.3716749,25039263.2041855,0,38716103.536986
2013-08-01,0.610920883193646,0.0553801529448671,23689496.0666669,25078338.2759946,0,38776700.4179459
2013-09-01,0.610852298948806,0.0549913253624635,23724234.8925743,25104780.0187378,0,38837923.5592639
2013-10-01,0.610333627322327,0.0547904172992012,23741177.4864769,25117368.5931536,0,38898688.2316068
