"year_new","month","epop","unemp","employment","labor_force","idled","population"
1996,2,0.554782797536527,0.0385203266430845,965782.281152725,1004474.98570697,0,1740829.53804843
1996,3,0.556565721447598,0.043165788638522,971160.791269938,1014972.89680735,0,1744916.64478366
1997,4,0.55584873185802,0.0325200031644205,967992.197979609,1000529.41781298,0,1741466.95404689
1997,5,0.555402918609959,0.0351150512883259,970519.281895955,1005839.38343302,0,1747414.80351766
1997,6,0.556316195539106,0.0353572366697177,972842.724139531,1008500.51554934,0,1748722.63640785
1997,7,0.555940988938332,0.040070164287358,974034.327649434,1014693.25299835,0,1752046.25496229
1997,8,0.559612264141764,0.0325749390153473,981547.646954854,1014598.11879985,0,1753978.08420118
1997,9,0.566462262449548,0.0311499831269393,992227.369880041,1024128.97001584,0,1751621.30940437
1997,10,0.570517861654135,0.0273290424522689,999075.371011734,1027146.2957325,0,1751172.81712278
1997,11,0.566453093557328,0.0291713580526474,993030.71319898,1022869.19677925,0,1753067.86121114
1997,12,0.563812891996332,0.0290251733155759,990313.531319936,1019916.79300435,0,1756457.76352056
1997,1,0.560328099481124,0.0330245129046859,989723.16996638,1023524.5703481,0,1766327.92623266
1997,2,0.564510800635765,0.0318663200807346,1002872.9470679,1035882.71730359,0,1776534.56043434
1997,3,0.57495454335393,0.0352234707177604,1026999.65957514,1064494.86321894,0,1786227.57476489
1998,4,0.575201263375975,0.0308754851931936,1026058.52646319,1058747.8809859,0,1783825.23091316
1998,5,0.575891373716487,0.0284222267958607,1025980.52368291,1055994.2312177,0,1781552.16505814
1998,6,0.562703546793788,0.0298748804760511,1004139.20260302,1035061.54246966,0,1784490.6226813
1998,7,0.558291695445745,0.0304729060137404,1000811.70118777,1032267.90400759,0,1792632.25541751
1998,8,0.570550317311168,0.0288512441789164,1026169.60149002,1056655.42517471,0,1798561.09155464
1998,9,0.57752223419431,0.0270110213082591,1038076.44029999,1066894.34621938,0,1797465.75774384
