cps_code,AIOE,dv_rating_beta,human_rating_beta,genaiexp_estz_total,genaiexp_estz_core,ai_applicability_score,pca_score
1006,1.19815,0.617424242,0.553475936,0.65106952,0.50334227,0.31542954,3.382113025
1007,1.250146,0.652173913,0.543478261,0.75,0.75,0.221961127,3.768733228
1010,1.271506,0.95,0.683333333,0.85294116,0.64705884,0.310031788,4.910286054
1021,0,0.868421053,0.447368421,0,0,0.283868641,0.90566079
1022,3.702186822,0.877192982,0.614035088,1.757799012,1.754649094,0.327733923,9.440663797
1031,1.089463,0.932692308,0.634615385,0.67370069,0.64475054,0.35312758,4.541933661
1032,2.306127314,0.75,0.633333333,1.243966587,1.212096307,0.294024739,6.592308071
1050,0.383831766,0.615191192,0.644411681,0.633345621,0.530044232,0.336132552,3.328538858
1065,2.064606122,0.919996033,0.628231682,0.934240306,0.894891147,0.306706133,5.681161897
1105,0.7895315,0.72972973,0.513513514,0.52499998,0.47499999,0.266308429,2.890692393
1106,0.5803306,0.635222739,0.543301197,0.59440559,0.53525639,0.257296198,2.898109424
1108,1.926517079,0.735786186,0.596963673,1.149318995,1.140325814,0.299461454,6.050623092
1200,1.516474,0.5,0.537037037,0.43333334,0.30000001,0.158147799,1.915062236
1210,1.472319,1,0.69047619,0.86363637,0.81818181,0.386170276,5.727695588
1220,1.40002,0.629032258,0.629032258,0.6875,0.65625,0.307495565,3.975430076
1230,1.382048191,0.724736842,0.725263158,0.64179145,0.64179145,0.315017118,4.261204209
1240,0.708501095,0.866666667,0.65,0.517923635,0.345282433,0.335843018,3.373559687
1305,1.047142,0.488372093,0.430232558,0.375,0.27083334,0.17491672,1.385693994
1306,1.034388,0.421052632,0.368421053,0.21052632,0.21052632,0.218422628,0.879875457
1310,0.218202576,0.511137219,0.424115034,0.266168739,0.236055065,0.154520574,0.746894419
1320,1.338738,0.571428571,0.517857143,0.3611111,0.27777779,0.195530636,1.900876824
1330,0.9409636,0.425925926,0.333333333,0.35714287,0.35714287,0.152792062,1.08749264
1340,0.9874239,0.58974359,0.538461538,0.58333331,0.58333331,0.308328309,3.227662728
1350,1.341336,0.461538462,0.346153846,0.34615386,0.34615386,0.196268253,1.458002046
1360,1.282422044,0.482142857,0.454545455,0.335748617,0.264964077,0.205382386,1.54879106
1400,1.141812,0.727272727,0.318181818,0.3611111,0.33333334,0.321932708,2.265862837
1410,0.89664859,0.591229444,0.42698934,0.483155838,0.304411828,0.191854493,1.824658665
1420,1.34223627,0.555555556,0.5,0.517346531,0.481667485,0.208284269,2.555459949
1430,1.131928913,0.552746749,0.521573095,0.438769599,0.407411412,0.257256569,2.401709348
1440,0.547217015,0.421052632,0.403508772,0.216666557,0.216666557,0.20567888,0.730499952
